model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m11_L1_U128_B128_lr0.1_m0.94_d0.99_s4_T8,8,1,"128",128,0.1,0.94,0.99,4,60,97.6,98.40,97.97,runs/grid_20250929-122840/models/m11_L1_U128_B128_lr0.1_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m11_L1_U128_B128_lr0.1_m0.94_d0.99_s4_T8.train.log
m12_L1_U128_B128_lr0.1_m0.95_d0.99_s4_T8,8,1,"128",128,0.1,0.95,0.99,4,60,61.0,97.93,97.43,runs/grid_20250929-122840/models/m12_L1_U128_B128_lr0.1_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m12_L1_U128_B128_lr0.1_m0.95_d0.99_s4_T8.train.log
m13_L1_U256_B128_lr0.05_m0.9_d0.99_s4_T8,8,1,"256",128,0.05,0.9,0.99,4,60,197.4,98.23,98.13,runs/grid_20250929-122840/models/m13_L1_U256_B128_lr0.05_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m13_L1_U256_B128_lr0.05_m0.9_d0.99_s4_T8.train.log
m14_L1_U256_B128_lr0.05_m0.94_d0.99_s4_T8,8,1,"256",128,0.05,0.94,0.99,4,60,167.3,98.23,98.22,runs/grid_20250929-122840/models/m14_L1_U256_B128_lr0.05_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m14_L1_U256_B128_lr0.05_m0.94_d0.99_s4_T8.train.log
m15_L1_U256_B128_lr0.05_m0.95_d0.99_s4_T8,8,1,"256",128,0.05,0.95,0.99,4,60,201.0,98.37,98.25,runs/grid_20250929-122840/models/m15_L1_U256_B128_lr0.05_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m15_L1_U256_B128_lr0.05_m0.95_d0.99_s4_T8.train.log
m16_L1_U256_B128_lr0.1_m0.9_d0.99_s4_T8,8,1,"256",128,0.1,0.9,0.99,4,60,225.1,98.28,98.22,runs/grid_20250929-122840/models/m16_L1_U256_B128_lr0.1_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m16_L1_U256_B128_lr0.1_m0.9_d0.99_s4_T8.train.log
m17_L1_U256_B128_lr0.1_m0.94_d0.99_s4_T8,8,1,"256",128,0.1,0.94,0.99,4,60,155.1,98.33,98.27,runs/grid_20250929-122840/models/m17_L1_U256_B128_lr0.1_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m17_L1_U256_B128_lr0.1_m0.94_d0.99_s4_T8.train.log
m18_L1_U256_B128_lr0.1_m0.95_d0.99_s4_T8,8,1,"256",128,0.1,0.95,0.99,4,60,288.6,98.35,98.23,runs/grid_20250929-122840/models/m18_L1_U256_B128_lr0.1_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m18_L1_U256_B128_lr0.1_m0.95_d0.99_s4_T8.train.log
m19_L2_U64x32_B128_lr0.05_m0.9_d0.99_s4_T8,8,2,"64,32",128,0.05,0.9,0.99,4,60,47.3,98.08,97.76,runs/grid_20250929-122840/models/m19_L2_U64x32_B128_lr0.05_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m19_L2_U64x32_B128_lr0.05_m0.9_d0.99_s4_T8.train.log
m20_L2_U64x32_B128_lr0.05_m0.94_d0.99_s4_T8,8,2,"64,32",128,0.05,0.94,0.99,4,60,26.9,97.93,97.33,runs/grid_20250929-122840/models/m20_L2_U64x32_B128_lr0.05_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m20_L2_U64x32_B128_lr0.05_m0.94_d0.99_s4_T8.train.log
m21_L2_U64x32_B128_lr0.05_m0.95_d0.99_s4_T8,8,2,"64,32",128,0.05,0.95,0.99,4,60,25.7,97.60,97.23,runs/grid_20250929-122840/models/m21_L2_U64x32_B128_lr0.05_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m21_L2_U64x32_B128_lr0.05_m0.95_d0.99_s4_T8.train.log
m22_L2_U64x32_B128_lr0.1_m0.9_d0.99_s4_T8,8,2,"64,32",128,0.1,0.9,0.99,4,60,24.9,97.77,97.40,runs/grid_20250929-122840/models/m22_L2_U64x32_B128_lr0.1_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m22_L2_U64x32_B128_lr0.1_m0.9_d0.99_s4_T8.train.log
m23_L2_U64x32_B128_lr0.1_m0.94_d0.99_s4_T8,8,2,"64,32",128,0.1,0.94,0.99,4,60,57.6,97.78,97.08,runs/grid_20250929-122840/models/m23_L2_U64x32_B128_lr0.1_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m23_L2_U64x32_B128_lr0.1_m0.94_d0.99_s4_T8.train.log
m24_L2_U64x32_B128_lr0.1_m0.95_d0.99_s4_T8,8,2,"64,32",128,0.1,0.95,0.99,4,60,45.7,97.57,97.12,runs/grid_20250929-122840/models/m24_L2_U64x32_B128_lr0.1_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m24_L2_U64x32_B128_lr0.1_m0.95_d0.99_s4_T8.train.log
m25_L2_U128x32_B128_lr0.05_m0.9_d0.99_s4_T8,8,2,"128,32",128,0.05,0.9,0.99,4,60,107.8,98.38,98.10,runs/grid_20250929-122840/models/m25_L2_U128x32_B128_lr0.05_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m25_L2_U128x32_B128_lr0.05_m0.9_d0.99_s4_T8.train.log
m26_L2_U128x32_B128_lr0.05_m0.94_d0.99_s4_T8,8,2,"128,32",128,0.05,0.94,0.99,4,60,112.4,98.25,97.99,runs/grid_20250929-122840/models/m26_L2_U128x32_B128_lr0.05_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m26_L2_U128x32_B128_lr0.05_m0.94_d0.99_s4_T8.train.log
m27_L2_U128x32_B128_lr0.05_m0.95_d0.99_s4_T8,8,2,"128,32",128,0.05,0.95,0.99,4,60,150.8,98.30,98.07,runs/grid_20250929-122840/models/m27_L2_U128x32_B128_lr0.05_m0.95_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m27_L2_U128x32_B128_lr0.05_m0.95_d0.99_s4_T8.train.log
m28_L2_U128x32_B128_lr0.1_m0.9_d0.99_s4_T8,8,2,"128,32",128,0.1,0.9,0.99,4,60,75.5,97.90,97.69,runs/grid_20250929-122840/models/m28_L2_U128x32_B128_lr0.1_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-122840/logs/m28_L2_U128x32_B128_lr0.1_m0.9_d0.99_s4_T8.train.log
