model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m28_L1_U64_B128_lr0.05_m0.96_d0.9_s4_T8,8,1,"64",128,0.05,0.96,0.9,4,60,4.7,96.40,94.30,runs/grid_20250929-142217/models/m28_L1_U64_B128_lr0.05_m0.96_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m28_L1_U64_B128_lr0.05_m0.96_d0.9_s4_T8.train.log
m29_L1_U64_B128_lr0.05_m0.96_d0.95_s4_T8,8,1,"64",128,0.05,0.96,0.95,4,60,4.0,96.10,94.19,runs/grid_20250929-142217/models/m29_L1_U64_B128_lr0.05_m0.96_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m29_L1_U64_B128_lr0.05_m0.96_d0.95_s4_T8.train.log
m30_L1_U64_B128_lr0.05_m0.96_d0.99_s4_T8,8,1,"64",128,0.05,0.96,0.99,4,60,4.6,96.40,94.43,runs/grid_20250929-142217/models/m30_L1_U64_B128_lr0.05_m0.96_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m30_L1_U64_B128_lr0.05_m0.96_d0.99_s4_T8.train.log
m31_L1_U64_B128_lr0.075_m0.0_d0.9_s4_T8,8,1,"64",128,0.075,0.0,0.9,4,60,7.9,94.70,92.48,runs/grid_20250929-142217/models/m31_L1_U64_B128_lr0.075_m0.0_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m31_L1_U64_B128_lr0.075_m0.0_d0.9_s4_T8.train.log
m32_L1_U64_B128_lr0.075_m0.0_d0.95_s4_T8,8,1,"64",128,0.075,0.0,0.95,4,60,9.0,94.90,92.59,runs/grid_20250929-142217/models/m32_L1_U64_B128_lr0.075_m0.0_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m32_L1_U64_B128_lr0.075_m0.0_d0.95_s4_T8.train.log
m33_L1_U64_B128_lr0.075_m0.0_d0.99_s4_T8,8,1,"64",128,0.075,0.0,0.99,4,60,9.4,95.10,92.89,runs/grid_20250929-142217/models/m33_L1_U64_B128_lr0.075_m0.0_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m33_L1_U64_B128_lr0.075_m0.0_d0.99_s4_T8.train.log
m34_L1_U64_B128_lr0.075_m0.9_d0.9_s4_T8,8,1,"64",128,0.075,0.9,0.9,4,60,6.4,96.20,94.86,runs/grid_20250929-142217/models/m34_L1_U64_B128_lr0.075_m0.9_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m34_L1_U64_B128_lr0.075_m0.9_d0.9_s4_T8.train.log
m35_L1_U64_B128_lr0.075_m0.9_d0.95_s4_T8,8,1,"64",128,0.075,0.9,0.95,4,60,5.0,96.30,94.69,runs/grid_20250929-142217/models/m35_L1_U64_B128_lr0.075_m0.9_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m35_L1_U64_B128_lr0.075_m0.9_d0.95_s4_T8.train.log
m36_L1_U64_B128_lr0.075_m0.9_d0.99_s4_T8,8,1,"64",128,0.075,0.9,0.99,4,60,5.2,96.10,94.79,runs/grid_20250929-142217/models/m36_L1_U64_B128_lr0.075_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m36_L1_U64_B128_lr0.075_m0.9_d0.99_s4_T8.train.log
m37_L1_U64_B128_lr0.075_m0.92_d0.9_s4_T8,8,1,"64",128,0.075,0.92,0.9,4,60,4.9,96.00,94.70,runs/grid_20250929-142217/models/m37_L1_U64_B128_lr0.075_m0.92_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m37_L1_U64_B128_lr0.075_m0.92_d0.9_s4_T8.train.log
m38_L1_U64_B128_lr0.075_m0.92_d0.95_s4_T8,8,1,"64",128,0.075,0.92,0.95,4,60,5.3,96.40,94.83,runs/grid_20250929-142217/models/m38_L1_U64_B128_lr0.075_m0.92_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m38_L1_U64_B128_lr0.075_m0.92_d0.95_s4_T8.train.log
m39_L1_U64_B128_lr0.075_m0.92_d0.99_s4_T8,8,1,"64",128,0.075,0.92,0.99,4,60,5.1,96.60,94.89,runs/grid_20250929-142217/models/m39_L1_U64_B128_lr0.075_m0.92_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m39_L1_U64_B128_lr0.075_m0.92_d0.99_s4_T8.train.log
m40_L1_U64_B128_lr0.075_m0.94_d0.9_s4_T8,8,1,"64",128,0.075,0.94,0.9,4,60,4.8,96.40,94.78,runs/grid_20250929-142217/models/m40_L1_U64_B128_lr0.075_m0.94_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m40_L1_U64_B128_lr0.075_m0.94_d0.9_s4_T8.train.log
m41_L1_U64_B128_lr0.075_m0.94_d0.95_s4_T8,8,1,"64",128,0.075,0.94,0.95,4,60,3.2,96.00,93.73,runs/grid_20250929-142217/models/m41_L1_U64_B128_lr0.075_m0.94_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m41_L1_U64_B128_lr0.075_m0.94_d0.95_s4_T8.train.log
m42_L1_U64_B128_lr0.075_m0.94_d0.99_s4_T8,8,1,"64",128,0.075,0.94,0.99,4,60,5.7,96.20,95.01,runs/grid_20250929-142217/models/m42_L1_U64_B128_lr0.075_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m42_L1_U64_B128_lr0.075_m0.94_d0.99_s4_T8.train.log
m43_L1_U64_B128_lr0.075_m0.96_d0.9_s4_T8,8,1,"64",128,0.075,0.96,0.9,4,60,3.9,96.00,94.61,runs/grid_20250929-142217/models/m43_L1_U64_B128_lr0.075_m0.96_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m43_L1_U64_B128_lr0.075_m0.96_d0.9_s4_T8.train.log
m44_L1_U64_B128_lr0.075_m0.96_d0.95_s4_T8,8,1,"64",128,0.075,0.96,0.95,4,60,4.1,96.20,94.52,runs/grid_20250929-142217/models/m44_L1_U64_B128_lr0.075_m0.96_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m44_L1_U64_B128_lr0.075_m0.96_d0.95_s4_T8.train.log
m45_L1_U64_B128_lr0.075_m0.96_d0.99_s4_T8,8,1,"64",128,0.075,0.96,0.99,4,60,4.3,96.10,94.63,runs/grid_20250929-142217/models/m45_L1_U64_B128_lr0.075_m0.96_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m45_L1_U64_B128_lr0.075_m0.96_d0.99_s4_T8.train.log
m46_L1_U64_B128_lr0.1_m0.0_d0.9_s4_T8,8,1,"64",128,0.1,0.0,0.9,4,60,9.5,95.10,92.79,runs/grid_20250929-142217/models/m46_L1_U64_B128_lr0.1_m0.0_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m46_L1_U64_B128_lr0.1_m0.0_d0.9_s4_T8.train.log
m47_L1_U64_B128_lr0.1_m0.0_d0.95_s4_T8,8,1,"64",128,0.1,0.0,0.95,4,60,7.7,94.80,92.90,runs/grid_20250929-142217/models/m47_L1_U64_B128_lr0.1_m0.0_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m47_L1_U64_B128_lr0.1_m0.0_d0.95_s4_T8.train.log
